candidate_id,template,arg0,arg1,score,screening_mean_pce,n_replicas
notchainsuccession_Task_C_Task_B,notchainsuccession,Task C,Task B,6.653563327243035,6.658208839655636,5
notchainsuccession_Task_C_Task_E,notchainsuccession,Task C,Task E,12.234326097113977,6.501884859158129,5
notchainsuccession_Task_C_Task_A,notchainsuccession,Task C,Task A,6.653563327243035,3.9521979747777394,5
notchainsuccession_Task_C_EVENT_7_END,notchainsuccession,Task C,EVENT 7 END,6.653563327243035,3.6364233576784706,5
notchainsuccession_Task_C_EVENT_1_START,notchainsuccession,Task C,EVENT 1 START,6.653563327243035,3.4103265050616614,5
