candidate_id,template,arg0,arg1,score,screening_mean_pce,n_replicas
coexistence_Analyze_Quotation_Comparison_Map_Choose_best_option,coexistence,Analyze Quotation Comparison Map,Choose best option,8.879505881686022,95.84670799448706,5
coexistence_Analyze_Quotation_Comparison_Map_Create_Purchase_Order,coexistence,Analyze Quotation Comparison Map,Create Purchase Order,8.879505881686022,88.52797619853108,5
coexistence_Analyze_Quotation_Comparison_Map_Create_Quotation_comparison_Map,coexistence,Analyze Quotation Comparison Map,Create Quotation comparison Map,8.879505881686022,87.33507171030645,5
coexistence_Analyze_Quotation_Comparison_Map_Approve_Purchase_Order_for_payment,coexistence,Analyze Quotation Comparison Map,Approve Purchase Order for payment,8.879505881686022,83.93591948735971,5
coexistence_Analyze_Quotation_Comparison_Map_Confirm_Purchase_Order,coexistence,Analyze Quotation Comparison Map,Confirm Purchase Order,8.879505881686022,81.22096529254978,5
